State Name,Year,Population
Florida,2015,20271272
Georgia,2015,10214860
Hawaii,2015,1431603
Idaho,2015,1654930
Illinois,2015,12859995
Indiana,2015,6619680
Iowa,2015,3123899
Kansas,2015,2911641
Kentucky,2015,4425092
Louisiana,2015,4670724
Maine,2015,1329328
Maryland,2015,6006401
Massachusetts,2015,6794422
Michigan,2015,9922576
Minnesota,2015,5489594
Mississippi,2015,2992333
Missouri,2015,6083672
Montana,2015,1032949
Nebraska,2015,1896190
Nevada,2015,2890845
New Hampshire,2015,1330608
New Jersey,2015,8958013
New Mexico,2015,2085109
New York,2015,19795791
North Carolina,2015,10042802
North Dakota,2015,756928
Ohio,2015,11613423
Oklahoma,2015,3911338
Oregon,2015,4028977
Pennsylvania,2015,12802503
Rhode Island,2015,1056298
South Carolina,2015,4896146
South Dakota,2015,858469
Tennessee,2015,6600299
Texas,2015,27469114
Utah,2015,2995919
Vermont,2015,626042
Virginia,2015,8382993
Washington,2015,7170351
West Virginia,2015,1844128
Wisconsin,2015,5771337
Wyoming,2015,586107
Puerto Rico,2015,3474182
Alabama,2014,4849377
Alaska,2014,736732
Arizona,2014,6731484
Arkansas,2014,2966369
California,2014,38802500
Colorado,2014,5355866
Connecticut,2014,3596677
Delaware,2014,935614
District of Columbia,2014,658893
Florida,2014,19893297
Georgia,2014,10097343
Hawaii,2014,1419561
Idaho,2014,1634464
Illinois,2014,12880580
Indiana,2014,6596855
Iowa,2014,3107126
Kansas,2014,2904021
Kentucky,2014,4413457
Louisiana,2014,4649676
Maine,2014,1330089
Maryland,2014,5976407
Massachusetts,2014,6745408
Michigan,2014,9909877
Minnesota,2014,5457173
Mississippi,2014,2994079
Missouri,2014,6063589
Montana,2014,1023579
Nebraska,2014,1881503
Nevada,2014,2839099
New Hampshire,2014,1326813
New Jersey,2014,8938175
New Mexico,2014,2085572
New York,2014,19746227
North Carolina,2014,9943964
North Dakota,2014,739482
Ohio,2014,11594163
Oklahoma,2014,3878051
Oregon,2014,3970239
Pennsylvania,2014,12787209
Rhode Island,2014,1055173
South Carolina,2014,4832482
South Dakota,2014,853175
Tennessee,2014,6549352
Texas,2014,26956958
Utah,2014,2942902
Vermont,2014,626562
Virginia,2014,8326289
Washington,2014,7061530
West Virginia,2014,1850326
Wisconsin,2014,5757564
Wyoming,2014,584153
Puerto Rico,2014,3548397
Alabama,2013,4833722
Alaska,2013,735132
Arizona,2013,6626624
Arkansas,2013,2959373
California,2013,38332521
Colorado,2013,5268367
Connecticut,2013,3596080
Delaware,2013,925749
District of Columbia,2013,646449
Florida,2013,19552860
Georgia,2013,9992167
Hawaii,2013,1404054
Idaho,2013,1612136
Illinois,2013,12882135
Indiana,2013,6570902
Iowa,2013,3090416
Kansas,2013,2893957
Kentucky,2013,4395295
Louisiana,2013,4625470
Maine,2013,1328302
Maryland,2013,5928814
Massachusetts,2013,6692824
Michigan,2013,9895622
Minnesota,2013,5420380
Mississippi,2013,2991207
Missouri,2013,6044171
Montana,2013,1015165
Nebraska,2013,1868516
Nevada,2013,2790136
New Hampshire,2013,1323459
New Jersey,2013,8899339
New Mexico,2013,2085287
New York,2013,19651127
North Carolina,2013,9848060
North Dakota,2013,723393
Ohio,2013,11570808
Oklahoma,2013,3850568
Oregon,2013,3930065
Pennsylvania,2013,12773801
Rhode Island,2013,1051511
South Carolina,2013,4774839
South Dakota,2013,844877
Tennessee,2013,6495978
Texas,2013,26448193
Utah,2013,2900872
Vermont,2013,626630
Virginia,2013,8260405
Washington,2013,6971406
West Virginia,2013,1854304
Wisconsin,2013,5742713
Wyoming,2013,582658
Puerto Rico,2013,3615086
